workload,variant,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
light,No_Capacity,19,0.68,1.9570280135325893,0.2825477941746959,92.36902997807437
light,No_Capacity,20,0.81,1.5746254386112366,0.24247868231544786,93.04198754899821
light,No_Capacity,21,0.79,1.8972432099452572,0.27713423381696584,113.14314227096526
light,No_Capacity,22,0.76,1.548726210061775,0.23883958393530366,93.75970817589071
light,No_Capacity,23,0.74,1.7481539159934278,0.26282124611125857,114.62529563017917
light,No_Capacity,24,0.69,1.887379000202217,0.3013753128652502,95.2461558877782
light,No_Capacity,25,0.82,1.534353203774052,0.2705466706957887,91.26817874368035
light,No_Capacity,26,0.73,2.0114636354447466,0.3197465665586781,100.73527203649653
light,No_Capacity,27,0.77,1.7905017240834127,0.2835479127704203,99.25748923290783
light,No_Capacity,28,0.76,1.5916832752409644,0.26074291192259,97.60497071449045
light,No_Capacity,29,0.84,1.5592521581275351,0.23442979647450365,84.6014401711301
light,No_Capacity,30,0.79,1.7056474823788021,0.2688875210323822,90.08813996894568
light,No_Energy,1,0.82,1.3841400120546052,0.2020215493584416,69.71719859217113
light,No_Energy,2,0.83,1.5026499013714574,0.19371645774428886,77.91207675225311
light,No_Energy,3,0.82,1.2667472565004672,0.20518727475135787,69.52550047519796
light,No_Energy,4,0.89,1.443879619396391,0.23414621341065486,70.8659364416991
light,No_Energy,5,0.82,1.2922895866440018,0.21449536343868808,64.50271973653554
light,No_Energy,6,0.94,1.0194230504000896,0.19970163910654842,69.90350693987374
light,No_Energy,7,0.84,1.207096894914227,0.19768854178259665,70.82161100897059
light,No_Energy,8,0.69,1.7309068020762326,0.21533408753309846,73.4758802439145
light,No_Energy,9,0.83,1.3443964291626287,0.20645655916561345,67.84706625838263
light,No_Energy,10,0.87,1.1067806756776226,0.1828572080739876,62.19655723326976
light,No_Energy,11,0.92,1.2306424981152129,0.19780119719511122,60.475782490375295
light,No_Energy,12,0.85,0.9879934371719183,0.16884125386463067,63.46607173434613
light,No_Energy,13,0.8,1.4165315152279905,0.2626748002017471,86.39141731870124
light,No_Energy,14,0.85,1.2885189457841022,0.20383678369359914,68.79626084993485
light,No_Energy,15,0.81,1.386317648058653,0.19003069847309248,76.9412865391166
light,No_Energy,16,0.92,0.9982651603290122,0.20635492974392886,73.80308604138207
light,No_Energy,17,0.86,1.2870292898526157,0.18757019701036176,70.62015143842113
light,No_Energy,18,0.8,1.3568272833105375,0.23116156047362676,67.80120430232171
light,No_Energy,19,0.78,1.5520728494197475,0.21668445788754445,68.68582414076744
