workload,algorithm,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
light,SJF,28,0.52,7.683575458489755,0.24667144218866222,87.3352170275763
light,SJF,29,0.59,6.525816703160912,0.29611270435790926,100.40027256875882
light,SJF,30,0.65,5.295862653541343,0.2983341095274702,92.09695177614931
light,EDF,1,1.0,0.4943192731872292,0.15832402105231047,47.79301917857239
light,EDF,2,1.0,0.4715657261860283,0.1378418222270215,46.764689330034884
light,EDF,3,1.0,0.464726988200064,0.14055897924553157,45.83916694491931
light,EDF,4,1.0,0.5240170738095893,0.17151262109775955,51.31348897517448
light,EDF,5,1.0,0.4040118260765437,0.14285304256527093,40.09444976363129
light,EDF,6,1.0,0.4509823811980308,0.12836571985101392,44.733533404128295
light,EDF,7,1.0,0.47747714254400925,0.13748357394537722,47.39283933229993
light,EDF,8,1.0,0.5146775330448216,0.17798205507462292,50.42594146446896
light,EDF,9,1.0,0.4239127607345921,0.13865068120939902,42.02445621305132
light,EDF,10,1.0,0.4294698576211791,0.1443325938344243,42.16175781545094
light,EDF,11,1.0,0.45397630661311483,0.15492515770763712,44.2579309034255
light,EDF,12,1.0,0.3858424178872402,0.10414166017585612,38.33057870227583
light,EDF,13,1.0,0.43891465533834423,0.1436188795842849,43.79703484000095
light,EDF,14,1.0,0.435989227653984,0.1300686678614431,43.28130917197373
light,EDF,15,1.0,0.4429175496971252,0.12526987090369518,44.27245300355219
light,EDF,16,1.0,0.4212212083224813,0.12119388856752623,41.931909748824935
light,EDF,17,1.0,0.4412105021190043,0.12635405893031718,44.00388282729894
light,EDF,18,1.0,0.48872381323998076,0.16923640992951403,47.44290588602951
light,EDF,19,1.0,0.5696807388468415,0.18776445845423798,55.209297054316366
light,EDF,20,1.0,0.40045585289397073,0.10939200050935324,39.92055508982949
light,EDF,21,1.0,0.5333350449893453,0.14616154188212335,52.76736102992439
light,EDF,22,1.0,0.4315297694040512,0.13021059673591714,42.95875157624623
light,EDF,23,1.0,0.47169876546360967,0.1219832865794651,47.118231795047734
light,EDF,24,1.0,0.523533985452182,0.17855359801798626,51.195731779271966
light,EDF,25,1.0,0.4226914762701455,0.13390487979132645,41.84144708826281
light,EDF,26,1.0,0.5503342201389954,0.18657198891405555,52.71357950770401
light,EDF,27,1.0,0.46660135550382287,0.15151044993518759,46.563246937308165
light,EDF,28,1.0,0.4462368356102426,0.13380487905893987,44.50759632531562
light,EDF,29,1.0,0.4656684719410569,0.13628200077544014,46.2079128071849
light,EDF,30,1.0,0.46239956118823555,0.152737134504362,46.05909323548363
light,AHDETS,1,0.94,1.0293575761130804,0.20497572466695613,62.502362311852664
light,AHDETS,2,0.95,0.8092365581422588,0.19533697826934654,67.56407924692799
light,AHDETS,3,0.9,0.7925129469757778,0.19523953615930628,65.24051715304489
light,AHDETS,4,0.92,0.8829869422748223,0.22063182900542963,66.93160190537274
light,AHDETS,5,0.91,0.707522863656648,0.19802038656110185,55.69762836143896
light,AHDETS,6,0.89,0.822112157121925,0.18286925902571596,63.89778378105271
light,AHDETS,7,0.94,0.9051445269741766,0.1911383382279921,66.89346839086954
light,AHDETS,8,0.92,0.907713571374899,0.22508593631300838,65.18352949022587
light,AHDETS,9,0.91,0.7177312899088797,0.19435012199031249,58.906729634079795
light,AHDETS,10,0.91,0.805659692326735,0.19326853185053927,58.83413582393294
light,AHDETS,11,0.94,0.8157872775977991,0.19359108838080052,58.098555981185214
light,AHDETS,12,0.94,0.6985783404735489,0.15139295001714617,57.72484125440154
light,AHDETS,13,0.93,0.7592872927090377,0.19848901386850762,60.82635506590739
light,AHDETS,14,0.92,0.7646995436191462,0.17517447708015896,59.10087215164917
light,AHDETS,15,0.94,0.8594647198486078,0.1838943695542207,65.20373228473147
light,AHDETS,16,0.9,0.7697618559903823,0.1749008159780596,60.83248189677025
light,AHDETS,17,0.95,0.7583310336286382,0.17435327015693405,61.94366984438463
light,AHDETS,18,0.91,0.8667338838397878,0.22493357036973746,63.05677492275255
light,AHDETS,19,0.9,1.0358665096852078,0.2116682885320997,67.00579500697864
light,AHDETS,20,0.96,0.732024984313595,0.15867010890745759,59.05448264387968
light,AHDETS,21,0.96,0.9807825068750482,0.19421000496347154,72.394533475117
light,AHDETS,22,0.96,0.7802576858442349,0.17051264549499998,57.2664540146866
light,AHDETS,23,0.97,0.7580281961884144,0.17096282582122824,66.02302316611
light,AHDETS,24,0.96,0.9361199652954392,0.21743665376623592,66.73069902456477
light,AHDETS,25,0.92,0.8087515671010607,0.18268582717908569,60.60936090251596
light,AHDETS,26,0.94,0.829950862447996,0.22994867397408109,71.99220614717048
light,AHDETS,27,0.91,0.8866052624410434,0.2151263710240505,66.73738394091865
light,AHDETS,28,0.92,0.7571533891811697,0.17767661114863942,59.93225810612623
light,AHDETS,29,0.95,0.723163376165723,0.18750956654425927,63.81550694271678
light,AHDETS,30,0.94,0.8023635447748559,0.2061609233783322,65.33641618129458
moderate,FCFS,1,1.0,0.5068828125727896,0.371344211586725,43.76965100843296
moderate,FCFS,2,1.0,0.4809872672458851,0.3373568754749926,44.27035277858771
moderate,FCFS,3,1.0,0.46578967573348357,0.33813485693156276,42.716670963871536
moderate,FCFS,4,1.0,0.5689600883495205,0.40816364133365807,46.96653330004263
moderate,FCFS,5,1.0,0.4268215966678009,0.35263123682947184,37.84725805206624
moderate,FCFS,6,1.0,0.49246456717779125,0.32291659827812347,43.44188288905731
moderate,FCFS,7,1.0,0.48523777536963747,0.32644222458840094,43.79182559733722
moderate,FCFS,8,1.0,0.5654908105404867,0.40906315029081625,46.90986169654511
moderate,FCFS,9,1.0,0.4338975389142166,0.3411741733406939,39.29860456878946
moderate,FCFS,10,1.0,0.4236613989472737,0.3380320911494517,39.03871215158914
moderate,FCFS,11,1.0,0.4440596944894646,0.35800727410659683,40.26341095402229
moderate,FCFS,12,1.0,0.38057901150765444,0.24547760710989916,35.2930307548086
moderate,FCFS,13,1.0,0.4664250941242221,0.34207128563317796,41.042968532582975
moderate,FCFS,14,1.0,0.4336253750497157,0.3073967510663327,39.33573591645603
moderate,FCFS,15,1.0,0.47007462734071814,0.30783503475825635,42.25469763016841
moderate,FCFS,16,1.0,0.42072099336043706,0.29528248885856734,38.78136673846559
moderate,FCFS,17,1.0,0.43439844099401725,0.2950664613291445,40.18354027663551
moderate,FCFS,18,1.0,0.5261054471869363,0.40307608842426795,44.074090732410625
moderate,FCFS,19,1.0,0.5784268517840367,0.41286063142070295,47.8517968857911
moderate,FCFS,20,1.0,0.40930316391556615,0.27115582375112,38.31798776034741
moderate,FCFS,21,1.0,0.5380795111171766,0.3388391374311627,48.12472731361879
moderate,FCFS,22,1.0,0.4206775087664485,0.29633883274609085,38.0230303415067
moderate,FCFS,23,1.0,0.46569206399032614,0.2876702181313677,43.28626842410456
moderate,FCFS,24,1.0,0.5359565384316465,0.40574550432460643,45.849855175739705
moderate,FCFS,25,1.0,0.44327729678579614,0.3241447747846572,39.66242513921243
moderate,FCFS,26,1.0,0.5909908545980094,0.45058370256602304,50.38694414769064
moderate,FCFS,27,1.0,0.4975888726731861,0.38200112444829465,45.10538592609289
moderate,FCFS,28,1.0,0.43328533843083217,0.29883626371049965,39.34012836295193
moderate,FCFS,29,1.0,0.4875113253766692,0.33521063675181245,43.50828322581526
moderate,FCFS,30,1.0,0.5078703063421206,0.3772023179940557,44.14284069109341
moderate,SJF,1,0.56,3.8332106498963414,0.46734777382132253,72.55073443641835
moderate,SJF,2,0.4,5.379208787003511,0.4401655180290897,74.81999934617373
moderate,SJF,3,0.59,3.387266068877829,0.47584761289899685,74.8461411324628
moderate,SJF,4,0.51,3.95510151635834,0.5006294190380509,78.0333879394732
moderate,SJF,5,0.43,4.106279309975821,0.44963273587899405,65.18768073994826
moderate,SJF,6,0.41,5.153453451956343,0.4305587901340106,73.68226737448126
moderate,SJF,7,0.41,5.175942840804055,0.4002147652536062,72.21064110839549
moderate,SJF,8,0.66,3.071820800959353,0.5283280373150543,75.95372834999924
moderate,SJF,9,0.63,2.780443397063899,0.4968388400862581,69.85524864181788
moderate,SJF,10,0.55,3.0840163716964195,0.4767137672779893,68.59966020870297
moderate,SJF,11,0.55,3.7969182245643065,0.46918461589556515,69.16035020687391
moderate,SJF,12,0.55,3.8083613818067463,0.38351278998817234,64.43720615617073
moderate,SJF,13,0.57,3.4399044319409877,0.4575124595069292,69.53463951568291
moderate,SJF,14,0.55,3.2941913459687315,0.4554468419733917,70.18717659814818
moderate,SJF,15,0.47,4.767610179790012,0.42268488342614835,73.08713381417336
moderate,SJF,16,0.38,5.358234185558502,0.40224467116903356,68.84538438734005
moderate,SJF,17,0.6,3.6018800050848356,0.4322478693552042,70.9417421285183
moderate,SJF,18,0.5,3.7416993437041395,0.49685145598819735,70.77380468646696
moderate,SJF,19,0.51,4.287839567300385,0.4794769461409868,75.16335138294463
moderate,SJF,20,0.45,4.688618907837009,0.41634059297017234,70.42436162237212
moderate,SJF,21,0.48,4.683686370096575,0.45063032931373226,81.18584206639355
moderate,SJF,22,0.57,3.399105992727708,0.45089823042238286,69.2519866174583
moderate,SJF,23,0.58,4.385828583143331,0.4437415388094234,79.47175762640192
moderate,SJF,24,0.48,4.265072857510829,0.48466298675085484,73.88431554377512
moderate,SJF,25,0.59,3.1495053578040357,0.49948997186340177,72.57357719960335
