workload,variant,metric,runs,mean,std,ci_lower,ci_upper
light,AHDETS,deadline_success_rate,30,0.9303333333333335,0.021890532252525276,0.9224999069704718,0.9381667596961951
light,AHDETS,average_response_time,30,0.8234563307629981,0.09012262868121547,0.7912063622716937,0.8557062992543024
light,AHDETS,system_utilization,30,0.1933404899403071,0.019870496959270886,0.18622992392353252,0.20045105595708165
light,AHDETS,total_energy_consumed,30,63.17790796842199,4.24712953690342,61.65809218244312,64.69772375440085
light,No_Deadline,deadline_success_rate,30,0.9806666666666666,0.011426929274467326,0.9765775925412605,0.9847557407920726
light,No_Deadline,average_response_time,30,0.6149992050142111,0.0402028622705386,0.6006127955135375,0.6293856145148847
light,No_Deadline,system_utilization,30,0.18971480373297478,0.021703248928246852,0.18194839584699637,0.19748121161895318
light,No_Deadline,total_energy_consumed,30,61.331156203414004,3.977559661418636,59.907804758498024,62.754507648329984
light,No_Execution,deadline_success_rate,30,0.8886666666666669,0.04272876228533635,0.8733763754541365,0.9039569578791974
light,No_Execution,average_response_time,30,1.1131411857655682,0.14105106295817885,1.0626667111232813,1.1636156604078551
light,No_Execution,system_utilization,30,0.21180263211025213,0.02344543888542254,0.20341278955479106,0.2201924746657132
light,No_Execution,total_energy_consumed,30,70.20929052766203,5.187904433660894,68.35282276845724,72.06575828686682
light,No_Capacity,deadline_success_rate,30,0.7866666666666667,0.046411453203985625,0.7700585414336735,0.80327479189966
light,No_Capacity,average_response_time,30,1.6537107093034842,0.15740173399251328,1.5973852221753744,1.710036196431594
light,No_Capacity,system_utilization,30,0.2681528621777845,0.022935971459653034,0.2599453301992434,0.27636039415632563
light,No_Capacity,total_energy_consumed,30,95.12261842890372,6.933073763554874,92.64164984538151,97.60358701242593
light,No_Energy,deadline_success_rate,30,0.8450000000000001,0.04994824908049227,0.8271262486168756,0.8628737513831246
light,No_Energy,average_response_time,30,1.3028980337808582,0.16884607525762707,1.2424772417265109,1.3633188258352056
light,No_Energy,system_utilization,30,0.20699313818751605,0.019398063323812387,0.20005163037599713,0.21393464599903497
light,No_Energy,total_energy_consumed,30,70.81439979741974,5.6788006314822335,68.7822670898673,72.84653250497217
moderate,AHDETS,deadline_success_rate,30,0.9043333333333333,0.035005746654664785,0.891806687771087,0.9168599788955797
moderate,AHDETS,average_response_time,30,0.944349530028764,0.10081885830186824,0.9082719649250485,0.9804270951324795
moderate,AHDETS,system_utilization,30,0.4604830874468393,0.044432129535189296,0.4445832540922217,0.4763829208014569
moderate,AHDETS,total_energy_consumed,30,62.69873945138872,4.090740364322053,61.23488681209047,64.16259209068696
moderate,No_Deadline,deadline_success_rate,30,0.9726666666666666,0.01311312407431982,0.9679741954814854,0.9773591378518477
moderate,No_Deadline,average_response_time,30,0.6360019439575632,0.05129670791106901,0.6176456527791143,0.654358235136012
moderate,No_Deadline,system_utilization,30,0.47568110221805854,0.05259543169835393,0.45686006870095686,0.4945021357351602
moderate,No_Deadline,total_energy_consumed,30,61.57269182988098,4.269413241693791,60.04490192255351,63.100481737208455
moderate,No_Execution,deadline_success_rate,30,0.8599999999999999,0.036952905723086384,0.846776572513801,0.8732234274861987
moderate,No_Execution,average_response_time,30,1.1628850782340545,0.10301026308884943,1.1260233289984956,1.1997468274696135
moderate,No_Execution,system_utilization,30,0.45840287803660273,0.04259644608087758,0.4431599355697439,0.47364582050346155
moderate,No_Execution,total_energy_consumed,30,65.03592169559118,3.556051516531432,63.763405003171435,66.30843838801094
moderate,No_Capacity,deadline_success_rate,30,0.7176666666666666,0.04651164728681766,0.7010226874416001,0.734310645891733
moderate,No_Capacity,average_response_time,30,1.835580765485165,0.1781328379282994,1.7718367480888806,1.8993247828814495
moderate,No_Capacity,system_utilization,30,0.4303940445413435,0.042395027252337486,0.41522317887660454,0.44556491020608247
moderate,No_Capacity,total_energy_consumed,30,68.32432671438478,5.182510383781285,66.46978919113963,70.17886423762994
moderate,No_Energy,deadline_success_rate,30,0.7973333333333332,0.04282549460900302,0.7820084269033376,0.8126582397633288
moderate,No_Energy,average_response_time,30,1.5204457561043485,0.19356666790235819,1.4511788135820765,1.5897126986266206
moderate,No_Energy,system_utilization,30,0.4008460754445441,0.03923272405569242,0.3868068254455276,0.4148853254435606
moderate,No_Energy,total_energy_consumed,30,62.976015465798724,4.370829582791916,61.41193418689479,64.54009674470267
heavy,AHDETS,deadline_success_rate,30,0.8576666666666667,0.052370255662550665,0.8389262113591215,0.8764071219742119
heavy,AHDETS,average_response_time,30,1.0929543635201915,0.16716645714096953,1.033134615089763,1.15277411195062
heavy,AHDETS,system_utilization,30,0.7069821134293994,0.056737654502243995,0.6866788045186012,0.7272854223401977
heavy,AHDETS,total_energy_consumed,30,62.44978373914192,3.886426062156736,61.059044033893365,63.84052344439048
heavy,No_Deadline,deadline_success_rate,30,0.8876666666666667,0.05787521256881099,0.8669562878296951,0.9083770455036383
heavy,No_Deadline,average_response_time,30,0.8748836201145721,0.20411460268719148,0.8018421476053589,0.9479250926237853
heavy,No_Deadline,system_utilization,30,0.7221250733017326,0.055095126657925396,0.7024095354313546,0.7418406111721105
heavy,No_Deadline,total_energy_consumed,30,62.969523069645724,4.536858028013748,61.34602927464659,64.59301686464487
heavy,No_Execution,deadline_success_rate,30,0.8276666666666664,0.042237696297333115,0.81255210116112,0.8427812321722129
