workload,algorithm,runs,deadline_success_rate_mean,deadline_success_rate_std,deadline_success_rate_ci_lower,deadline_success_rate_ci_upper,average_response_time_mean,average_response_time_std,average_response_time_ci_lower,average_response_time_ci_upper,system_utilization_mean,system_utilization_std,system_utilization_ci_lower,system_utilization_ci_upper,total_energy_consumed_mean,total_energy_consumed_std,total_energy_consumed_ci_lower,total_energy_consumed_ci_upper
heavy,AHDETS,30,0.8576666666666667,0.052370255662550665,0.8381112918186796,0.8772220415146538,1.0929543635201915,0.16716645714096953,1.0305333825636436,1.1553753444767394,0.7069821134293994,0.056737654502243995,0.6857959250530007,0.7281683018057982,62.44978373914192,3.886426062156736,60.99856839747598,63.900999080807864
heavy,EDF,30,0.9810000000000001,0.03262641197895793,0.9688170975466592,0.993182902453341,1.3509844422175599,0.211823211419316,1.2718883551657787,1.430080529269341,0.722423088840254,0.034881173712450475,0.7093982445186996,0.7354479331618083,63.451224115164024,3.9434019389931825,61.97873363144018,64.92371459888787
heavy,FCFS,30,0.9416666666666667,0.063140966172489,0.9180894424170236,0.9652438909163097,0.8062258358031751,0.19150381794625432,0.7347171349694378,0.8777345366369124,0.6877536810261695,0.07708137011582408,0.6589710243951984,0.7165363376571406,52.30094582268991,5.360991892140178,50.29911855105435,54.302773094325474
heavy,SJF,30,0.49866666666666665,0.06117996817379956,0.47582169110390465,0.5215116422294287,3.210058250840668,0.4315181329988967,3.048926731856482,3.371189769824854,0.5910791845925303,0.03727947311766727,0.5771588005552847,0.6049995686297759,66.59045928653867,4.095292906922356,65.06125178327194,68.11966678980541
light,AHDETS,30,0.9303333333333335,0.021890532252525276,0.9221592742533394,0.9385073924133275,0.8234563307629981,0.09012262868121547,0.7898039881526606,0.8571086733733355,0.1933404899403071,0.019870496959270886,0.18592072443528218,0.200760255445332,63.17790796842199,4.24712953690342,61.592003735735666,64.76381220110832
light,EDF,30,1.0,0.0,,,0.4636040773725287,0.045135352352047416,0.44675025981953503,0.4804578949255223,0.14405301729737996,0.02149744907898614,0.13602573788664177,0.15208029670811815,45.764138391033626,4.104895482706338,44.23134522704048,47.296931555026774
light,FCFS,30,1.0,0.0,,,0.3859479781174207,0.03030656964561941,0.37463131902765967,0.39726463720718175,0.11789903232929612,0.014877198604033241,0.11234379507278107,0.12345426958581117,37.50898214492869,2.674746283034902,36.51021546857254,38.507748821284835
light,SJF,30,0.5846666666666667,0.07454382341411929,0.5568315455464223,0.612501787786911,6.32905740772856,1.4939362738248976,5.771212435156814,6.886902380300306,0.2762982449327559,0.02577842846217,0.26667242154900195,0.28592406831650985,90.84893940670847,5.843619612676913,88.66689598245492,93.03098283096202
moderate,AHDETS,30,0.9043333333333333,0.035005746654664785,0.8912619727106822,0.9174046939559845,0.944349530028764,0.10081885830186824,0.9067031496379011,0.9819959104196269,0.4604830874468393,0.044432129535189296,0.44389185760916877,0.47707431728450983,62.69873945138872,4.090740364322053,61.171231895466796,64.22624700731063
moderate,EDF,30,1.0,0.0,,,0.7279780935174638,0.11284072338697694,0.6858426749285433,0.7701135121063842,0.486525095398824,0.0681679725444435,0.46107075612037113,0.5119794346772769,61.099626889192336,5.492514220933569,59.0486883728646,63.15056540552007
moderate,FCFS,30,1.0,0.0,,,0.4778280615927954,0.054945795610505756,0.4573109643227763,0.4983451588628145,0.34266870063835103,0.04790649705466544,0.3247801206475551,0.36055728062914694,42.42932893119447,3.6278591981621626,41.0746640433064,43.78399381908254
moderate,SJF,30,0.5173333333333333,0.07046316393169107,0.4910219555058479,0.5436447111608188,4.035090608962452,0.7031329720012094,3.772536442260239,4.297644775664665,0.45842142254768853,0.03697707755918602,0.4446139548677082,0.47222889022766884,72.35558496160027,3.989374664157674,70.86592798017651,73.84524194302404
